,Time,User,Tweet
0,2022-10-23 15:00:10+00:00,807095,"Moist and tender, delicately flavored with pumpkin and cinnamon, this humble loaf needs no bells and whistles. 
https://t.co/cOZmW1Jmqt https://t.co/zgi1T3cBN0"
1,2022-10-23 14:55:05+00:00,807095,Mayor Eric Adams has struggled to respond to thousands of migrants arriving in New York City on buses — and he has received criticism from every corner. https://t.co/g5eaBpFnpa
2,2022-10-23 14:40:06+00:00,807095,"An expected winter rise in Covid cases appears poised to collide with a resurgent flu season and a third virus, RSV, which is straining pediatric hospitals in some states. It could all lead to a ""tripledemic."" https://t.co/pNpVDS9vhd"
3,2022-10-23 14:30:07+00:00,807095,"🟨🟩 Wordle 491 is breaking a lot of streaks. 🟨🟩 

About 25% of players are losing today's puzzle (usually it's only 1-2%). https://t.co/fgEBQQpx9w https://t.co/JnacNOjVpU"
4,2022-10-23 14:25:45+00:00,807095,"Hurricane Roslyn made landfall in west-central Mexico early Sunday morning, bringing damaging winds and a life-threatening storm surge to cities along the country's Pacific Coast, forecasters said. https://t.co/A9bM4dp8pl"
,Time,User,Tweet
0,2022-10-23 15:00:10+00:00,807095,"Moist and tender, delicately flavored with pumpkin and cinnamon, this humble loaf needs no bells and whistles. 
https://t.co/cOZmW1Jmqt https://t.co/zgi1T3cBN0"
1,2022-10-23 14:55:05+00:00,807095,Mayor Eric Adams has struggled to respond to thousands of migrants arriving in New York City on buses — and he has received criticism from every corner. https://t.co/g5eaBpFnpa
2,2022-10-23 14:40:06+00:00,807095,"An expected winter rise in Covid cases appears poised to collide with a resurgent flu season and a third virus, RSV, which is straining pediatric hospitals in some states. It could all lead to a ""tripledemic."" https://t.co/pNpVDS9vhd"
3,2022-10-23 14:30:07+00:00,807095,"🟨🟩 Wordle 491 is breaking a lot of streaks. 🟨🟩 

About 25% of players are losing today's puzzle (usually it's only 1-2%). https://t.co/fgEBQQpx9w https://t.co/JnacNOjVpU"
4,2022-10-23 14:25:45+00:00,807095,"Hurricane Roslyn made landfall in west-central Mexico early Sunday morning, bringing damaging winds and a life-threatening storm surge to cities along the country's Pacific Coast, forecasters said. https://t.co/A9bM4dp8pl"
,Time,User,Tweet
0,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
1,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
2,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
3,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
4,2022-10-27 12:45:07+00:00,807095,"Thursday is the 50th anniversary of Stevie Wonder’s landmark album “Talking Book.”⁣ Here are track-by-track reflections from some of the countless musicians it inspired. 
https://t.co/T130mEJ6ZE https://t.co/cQGfikKhca"
,Time,User,Tweet
0,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
1,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
2,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
3,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
4,2022-10-27 12:45:07+00:00,807095,"Thursday is the 50th anniversary of Stevie Wonder’s landmark album “Talking Book.”⁣ Here are track-by-track reflections from some of the countless musicians it inspired. 
https://t.co/T130mEJ6ZE https://t.co/cQGfikKhca"
,Time,User,Tweet
0,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
1,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
2,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
3,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
4,2022-10-27 12:45:07+00:00,807095,"Thursday is the 50th anniversary of Stevie Wonder’s landmark album “Talking Book.”⁣ Here are track-by-track reflections from some of the countless musicians it inspired. 
https://t.co/T130mEJ6ZE https://t.co/cQGfikKhca"
,Time,User,Tweet
0,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
1,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
2,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
3,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
4,2022-10-27 12:45:07+00:00,807095,"Thursday is the 50th anniversary of Stevie Wonder’s landmark album “Talking Book.”⁣ Here are track-by-track reflections from some of the countless musicians it inspired. 
https://t.co/T130mEJ6ZE https://t.co/cQGfikKhca"
,Time,User,Tweet
0,2022-10-27 13:40:05+00:00,807095,"🟨🟩 How did you do in Wordle today? 🟨🟩  

It's taken the average player 4 guesses. https://t.co/8R6rRDaYEa https://t.co/Oo3x5ElsFp"
1,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
2,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
3,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
4,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
,Time,User,Tweet
0,2022-10-27 13:40:05+00:00,807095,"🟨🟩 How did you do in Wordle today? 🟨🟩  

It's taken the average player 4 guesses. https://t.co/8R6rRDaYEa https://t.co/Oo3x5ElsFp"
1,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
2,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
3,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
4,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
,Time,User,Tweet
0,2022-10-27 13:45:05+00:00,807095,"The U.S. economy grew 0.6% in the third quarter, a 2.6% annual rate, but slowing consumer spending and a rapidly weakening housing market mean the report will do little to ease fears of a looming recession.
https://t.co/NVnx0WpJGi https://t.co/hFZIanD4FR"
1,2022-10-27 13:40:05+00:00,807095,"🟨🟩 How did you do in Wordle today? 🟨🟩  

It's taken the average player 4 guesses. https://t.co/8R6rRDaYEa https://t.co/Oo3x5ElsFp"
2,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
3,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
4,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
,Time,User,Tweet
0,2022-10-27 13:50:09+00:00,807095,RT @ewong: White House &amp; State Dept. spokespeople were asked publicly multiple times yesterday about our @nytimes story on the private deal…
1,2022-10-27 13:45:05+00:00,807095,"The U.S. economy grew 0.6% in the third quarter, a 2.6% annual rate, but slowing consumer spending and a rapidly weakening housing market mean the report will do little to ease fears of a looming recession.
https://t.co/NVnx0WpJGi https://t.co/hFZIanD4FR"
2,2022-10-27 13:40:05+00:00,807095,"🟨🟩 How did you do in Wordle today? 🟨🟩  

It's taken the average player 4 guesses. https://t.co/8R6rRDaYEa https://t.co/Oo3x5ElsFp"
3,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
4,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
,Time,User,Tweet
0,2022-10-27 14:00:30+00:00,807095,"After redecorating his Harlem apartment several times, a New York native decided to look for a new West Side place he could make his own.

Which option would you choose?
https://t.co/ivW6tvVlGs"
1,2022-10-27 13:50:09+00:00,807095,RT @ewong: White House &amp; State Dept. spokespeople were asked publicly multiple times yesterday about our @nytimes story on the private deal…
2,2022-10-27 13:45:05+00:00,807095,"The U.S. economy grew 0.6% in the third quarter, a 2.6% annual rate, but slowing consumer spending and a rapidly weakening housing market mean the report will do little to ease fears of a looming recession.
https://t.co/NVnx0WpJGi https://t.co/hFZIanD4FR"
3,2022-10-27 13:40:05+00:00,807095,"🟨🟩 How did you do in Wordle today? 🟨🟩  

It's taken the average player 4 guesses. https://t.co/8R6rRDaYEa https://t.co/Oo3x5ElsFp"
4,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
,Time,User,Tweet
0,2022-10-27 14:15:03+00:00,807095,"A Covid-19 outbreak at the largest iPhone manufacturing plant in Zhengzhou, China, has forced some factory workers into quarantine. The outbreak comes ahead of the holiday period, typically a critical period for iPhones.
https://t.co/PBzu5gTCe7"
1,2022-10-27 14:07:43+00:00,807095,"Breaking News: Mortgage rates in the U.S. jumped above 7%, their highest level since 2002, as increasing rates have already taken a toll on the housing market.
https://t.co/y1jWkrlv6o https://t.co/TQFIaRYKoU"
2,2022-10-27 14:00:30+00:00,807095,"After redecorating his Harlem apartment several times, a New York native decided to look for a new West Side place he could make his own.

Which option would you choose?
https://t.co/ivW6tvVlGs"
3,2022-10-27 13:50:09+00:00,807095,RT @ewong: White House &amp; State Dept. spokespeople were asked publicly multiple times yesterday about our @nytimes story on the private deal…
4,2022-10-27 13:45:05+00:00,807095,"The U.S. economy grew 0.6% in the third quarter, a 2.6% annual rate, but slowing consumer spending and a rapidly weakening housing market mean the report will do little to ease fears of a looming recession.
https://t.co/NVnx0WpJGi https://t.co/hFZIanD4FR"
,Time,User,Tweet
0,2022-10-27 14:15:03+00:00,807095,"A Covid-19 outbreak at the largest iPhone manufacturing plant in Zhengzhou, China, has forced some factory workers into quarantine. The outbreak comes ahead of the holiday period, typically a critical period for iPhones.
https://t.co/PBzu5gTCe7"
1,2022-10-27 14:07:43+00:00,807095,"Breaking News: Mortgage rates in the U.S. jumped above 7%, their highest level since 2002, as increasing rates have already taken a toll on the housing market.
https://t.co/y1jWkrlv6o https://t.co/TQFIaRYKoU"
2,2022-10-27 14:00:30+00:00,807095,"After redecorating his Harlem apartment several times, a New York native decided to look for a new West Side place he could make his own.

Which option would you choose?
https://t.co/ivW6tvVlGs"
3,2022-10-27 13:50:09+00:00,807095,RT @ewong: White House &amp; State Dept. spokespeople were asked publicly multiple times yesterday about our @nytimes story on the private deal…
4,2022-10-27 13:45:05+00:00,807095,"The U.S. economy grew 0.6% in the third quarter, a 2.6% annual rate, but slowing consumer spending and a rapidly weakening housing market mean the report will do little to ease fears of a looming recession.
https://t.co/NVnx0WpJGi https://t.co/hFZIanD4FR"
,Time,User,Tweet
0,2022-10-27 14:15:03+00:00,807095,"A Covid-19 outbreak at the largest iPhone manufacturing plant in Zhengzhou, China, has forced some factory workers into quarantine. The outbreak comes ahead of the holiday period, typically a critical period for iPhones.
https://t.co/PBzu5gTCe7"
1,2022-10-27 14:07:43+00:00,807095,"Breaking News: Mortgage rates in the U.S. jumped above 7%, their highest level since 2002, as increasing rates have already taken a toll on the housing market.
https://t.co/y1jWkrlv6o https://t.co/TQFIaRYKoU"
2,2022-10-27 14:00:30+00:00,807095,"After redecorating his Harlem apartment several times, a New York native decided to look for a new West Side place he could make his own.

Which option would you choose?
https://t.co/ivW6tvVlGs"
3,2022-10-27 13:50:09+00:00,807095,RT @ewong: White House &amp; State Dept. spokespeople were asked publicly multiple times yesterday about our @nytimes story on the private deal…
4,2022-10-27 13:45:05+00:00,807095,"The U.S. economy grew 0.6% in the third quarter, a 2.6% annual rate, but slowing consumer spending and a rapidly weakening housing market mean the report will do little to ease fears of a looming recession.
https://t.co/NVnx0WpJGi https://t.co/hFZIanD4FR"
,Time,User,Tweet
0,2022-10-27 14:15:03+00:00,807095,"A Covid-19 outbreak at the largest iPhone manufacturing plant in Zhengzhou, China, has forced some factory workers into quarantine. The outbreak comes ahead of the holiday period, typically a critical period for iPhones.
https://t.co/PBzu5gTCe7"
1,2022-10-27 14:07:43+00:00,807095,"Breaking News: Mortgage rates in the U.S. jumped above 7%, their highest level since 2002, as increasing rates have already taken a toll on the housing market.
https://t.co/y1jWkrlv6o https://t.co/TQFIaRYKoU"
2,2022-10-27 14:00:30+00:00,807095,"After redecorating his Harlem apartment several times, a New York native decided to look for a new West Side place he could make his own.

Which option would you choose?
https://t.co/ivW6tvVlGs"
3,2022-10-27 13:50:09+00:00,807095,RT @ewong: White House &amp; State Dept. spokespeople were asked publicly multiple times yesterday about our @nytimes story on the private deal…
4,2022-10-27 13:45:05+00:00,807095,"The U.S. economy grew 0.6% in the third quarter, a 2.6% annual rate, but slowing consumer spending and a rapidly weakening housing market mean the report will do little to ease fears of a looming recession.
https://t.co/NVnx0WpJGi https://t.co/hFZIanD4FR"
,Time,User,Tweet
0,2022-10-27 14:15:03+00:00,807095,"A Covid-19 outbreak at the largest iPhone manufacturing plant in Zhengzhou, China, has forced some factory workers into quarantine. The outbreak comes ahead of the holiday period, typically a critical period for iPhones.
https://t.co/PBzu5gTCe7"
1,2022-10-27 14:07:43+00:00,807095,"Breaking News: Mortgage rates in the U.S. jumped above 7%, their highest level since 2002, as increasing rates have already taken a toll on the housing market.
https://t.co/y1jWkrlv6o https://t.co/TQFIaRYKoU"
2,2022-10-27 14:00:30+00:00,807095,"After redecorating his Harlem apartment several times, a New York native decided to look for a new West Side place he could make his own.

Which option would you choose?
https://t.co/ivW6tvVlGs"
3,2022-10-27 13:50:09+00:00,807095,RT @ewong: White House &amp; State Dept. spokespeople were asked publicly multiple times yesterday about our @nytimes story on the private deal…
4,2022-10-27 13:45:05+00:00,807095,"The U.S. economy grew 0.6% in the third quarter, a 2.6% annual rate, but slowing consumer spending and a rapidly weakening housing market mean the report will do little to ease fears of a looming recession.
https://t.co/NVnx0WpJGi https://t.co/hFZIanD4FR"
,Time,User,Tweet
0,2022-10-27 14:15:03+00:00,807095,"A Covid-19 outbreak at the largest iPhone manufacturing plant in Zhengzhou, China, has forced some factory workers into quarantine. The outbreak comes ahead of the holiday period, typically a critical period for iPhones.
https://t.co/PBzu5gTCe7"
1,2022-10-27 14:07:43+00:00,807095,"Breaking News: Mortgage rates in the U.S. jumped above 7%, their highest level since 2002, as increasing rates have already taken a toll on the housing market.
https://t.co/y1jWkrlv6o https://t.co/TQFIaRYKoU"
2,2022-10-27 14:00:30+00:00,807095,"After redecorating his Harlem apartment several times, a New York native decided to look for a new West Side place he could make his own.

Which option would you choose?
https://t.co/ivW6tvVlGs"
3,2022-10-27 13:50:09+00:00,807095,RT @ewong: White House &amp; State Dept. spokespeople were asked publicly multiple times yesterday about our @nytimes story on the private deal…
4,2022-10-27 13:45:05+00:00,807095,"The U.S. economy grew 0.6% in the third quarter, a 2.6% annual rate, but slowing consumer spending and a rapidly weakening housing market mean the report will do little to ease fears of a looming recession.
https://t.co/NVnx0WpJGi https://t.co/hFZIanD4FR"
,Date,User,Tweet
0,2022-10-30 09:25:06+00:00,807095,"On Sunday, Nov. 6, the U.S. will ""fall back"" at the end of daylight saving time. Most Americans dislike this tough adjustment, and it may officially end soon. Until then, here's how to prepare for it. https://t.co/brDTWsmfHr"
1,2022-10-30 08:25:03+00:00,807095,"Rates of respiratory syncytial virus, or RSV, have ticked up across the U.S. The virus usually circulates in late December, but an early spike has led to more infections and hospitalizations. Here's what to know about RSV and how to avoid getting sick. https://t.co/FhTT6kEXBg"
2,2022-10-30 07:25:07+00:00,807095,"After years of recording homages to Latin American greats, the Mexican singer-songwriter Natalia Lafourcade has re-emerged with ""De Todas las Flores,"" her first album of all-original material since her Grammy-winning 2015 LP, ""Hasta la Raíz."" https://t.co/fgmuz927Ay"
3,2022-10-30 07:25:05+00:00,807095,"""How can anybody wrap their head around their daughter being killed by a serial killer?""

A mother lost her daughter 40 years ago. Until investigators knocked on her door, she had no idea what had happened.

Read this and 10 other stories in The Weekender. https://t.co/CEGUINBkEA"
4,2022-10-30 06:25:04+00:00,807095,"In Sydney, the intersection of city and nature is magic. Even a simple stroll to a neighborhood cafe can reveal a kaleidoscopic floral display. Here's your 36 Hours itinerary — full of food, culture and dips in ocean pools. https://t.co/pUC401irw9"
,Date,User,Tweet
0,2022-10-30 10:25:02+00:00,807095,"Paul Mescal's role in Hulu's ""Normal People"" earned him an Emmy nomination and sudden status as a sex symbol. Now, he stars as another psychologically complex character in the A24 feature ""Aftersun,"" which has become a hit on the festival circuit. https://t.co/jrVcr7cVUO"
1,2022-10-30 09:25:06+00:00,807095,"On Sunday, Nov. 6, the U.S. will ""fall back"" at the end of daylight saving time. Most Americans dislike this tough adjustment, and it may officially end soon. Until then, here's how to prepare for it. https://t.co/brDTWsmfHr"
2,2022-10-30 08:25:03+00:00,807095,"Rates of respiratory syncytial virus, or RSV, have ticked up across the U.S. The virus usually circulates in late December, but an early spike has led to more infections and hospitalizations. Here's what to know about RSV and how to avoid getting sick. https://t.co/FhTT6kEXBg"
3,2022-10-30 07:25:07+00:00,807095,"After years of recording homages to Latin American greats, the Mexican singer-songwriter Natalia Lafourcade has re-emerged with ""De Todas las Flores,"" her first album of all-original material since her Grammy-winning 2015 LP, ""Hasta la Raíz."" https://t.co/fgmuz927Ay"
4,2022-10-30 07:25:05+00:00,807095,"""How can anybody wrap their head around their daughter being killed by a serial killer?""

A mother lost her daughter 40 years ago. Until investigators knocked on her door, she had no idea what had happened.

Read this and 10 other stories in The Weekender. https://t.co/CEGUINBkEA"
5,2022-10-30 06:25:04+00:00,807095,"In Sydney, the intersection of city and nature is magic. Even a simple stroll to a neighborhood cafe can reveal a kaleidoscopic floral display. Here's your 36 Hours itinerary — full of food, culture and dips in ocean pools. https://t.co/pUC401irw9"
6,2022-10-30 06:18:26+00:00,807095,"South Korea is mourning the deaths of more than 150 people who were crushed in a Halloween crowd in a nightlife district of the capital, Seoul. Follow live updates. https://t.co/U6U9l1SiC8"
7,2022-10-30 05:25:04+00:00,807095,"""We're Arab. We're here. We're queer."" 

Here's a look at the TV stars of Lebanon and the larger Arab world who influenced Beirut's burgeoning drag scene. https://t.co/wGThoYFtli"
8,2022-10-30 04:25:02+00:00,807095,"Despite a lack of evidence, warnings about tainted trick-or-treat candy seem to surface every Halloween. Here's a look from 2021 at the history of the baseless legend. https://t.co/86nPIVFcit"
9,2022-10-30 03:30:47+00:00,807095,"Breaking News: The Astros raced to an early lead over the Phillies and then held on at home, evening the World Series at one win each. https://t.co/CxGQIZgaK4"
,Date,User,Tweet
0,2022-10-30 10:25:02+00:00,807095,"Paul Mescal's role in Hulu's ""Normal People"" earned him an Emmy nomination and sudden status as a sex symbol. Now, he stars as another psychologically complex character in the A24 feature ""Aftersun,"" which has become a hit on the festival circuit. https://t.co/jrVcr7cVUO"
1,2022-10-30 09:25:06+00:00,807095,"On Sunday, Nov. 6, the U.S. will ""fall back"" at the end of daylight saving time. Most Americans dislike this tough adjustment, and it may officially end soon. Until then, here's how to prepare for it. https://t.co/brDTWsmfHr"
2,2022-10-30 08:25:03+00:00,807095,"Rates of respiratory syncytial virus, or RSV, have ticked up across the U.S. The virus usually circulates in late December, but an early spike has led to more infections and hospitalizations. Here's what to know about RSV and how to avoid getting sick. https://t.co/FhTT6kEXBg"
3,2022-10-30 07:25:07+00:00,807095,"After years of recording homages to Latin American greats, the Mexican singer-songwriter Natalia Lafourcade has re-emerged with ""De Todas las Flores,"" her first album of all-original material since her Grammy-winning 2015 LP, ""Hasta la Raíz."" https://t.co/fgmuz927Ay"
4,2022-10-30 07:25:05+00:00,807095,"""How can anybody wrap their head around their daughter being killed by a serial killer?""

A mother lost her daughter 40 years ago. Until investigators knocked on her door, she had no idea what had happened.

Read this and 10 other stories in The Weekender. https://t.co/CEGUINBkEA"
5,2022-10-30 06:25:04+00:00,807095,"In Sydney, the intersection of city and nature is magic. Even a simple stroll to a neighborhood cafe can reveal a kaleidoscopic floral display. Here's your 36 Hours itinerary — full of food, culture and dips in ocean pools. https://t.co/pUC401irw9"
6,2022-10-30 06:18:26+00:00,807095,"South Korea is mourning the deaths of more than 150 people who were crushed in a Halloween crowd in a nightlife district of the capital, Seoul. Follow live updates. https://t.co/U6U9l1SiC8"
7,2022-10-30 05:25:04+00:00,807095,"""We're Arab. We're here. We're queer."" 

Here's a look at the TV stars of Lebanon and the larger Arab world who influenced Beirut's burgeoning drag scene. https://t.co/wGThoYFtli"
8,2022-10-30 04:25:02+00:00,807095,"Despite a lack of evidence, warnings about tainted trick-or-treat candy seem to surface every Halloween. Here's a look from 2021 at the history of the baseless legend. https://t.co/86nPIVFcit"
9,2022-10-30 03:30:47+00:00,807095,"Breaking News: The Astros raced to an early lead over the Phillies and then held on at home, evening the World Series at one win each. https://t.co/CxGQIZgaK4"
,Date,User,Tweet
0,2022-10-30 11:25:06+00:00,807095,"As we enter our third pandemic holiday season, some doctors are fearing a seasonal surge in Covid. But with a bit of advanced planning, family gatherings this year can resemble something like pre-pandemic times. Here's what to keep in mind. https://t.co/D3DmZsVV7b https://t.co/e6QRpUAn2R"
1,2022-10-30 10:25:02+00:00,807095,"Paul Mescal's role in Hulu's ""Normal People"" earned him an Emmy nomination and sudden status as a sex symbol. Now, he stars as another psychologically complex character in the A24 feature ""Aftersun,"" which has become a hit on the festival circuit. https://t.co/jrVcr7cVUO"
